Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
SandyCityPoliceDept,UT,12,90601,175,0,37,,43,95,3220,563,2473,184,193.2,.0,40.8,,47.5,104.9,3554.0,621.4,2729.6,203.1
SantaquinPoliceDept,UT,12,6459,5,0,2,,0,3,130,41,84,5,77.4,.0,31.0,,.0,46.4,2012.7,634.8,1300.5,77.4
SouthJordanPoliceDept,UT,12,32300,28,0,5,,2,21,803,246,512,45,86.7,.0,15.5,,6.2,65.0,2486.1,761.6,1585.1,139.3
SouthOgdenPoliceDept,UT,12,14923,14,0,5,,3,6,501,107,374,20,93.8,.0,33.5,,20.1,40.2,3357.2,717.0,2506.2,134.0
SouthSaltLakePoliceDept,UT,12,22234,191,0,29,,54,108,2084,298,1489,297,859.0,.0,130.4,,242.9,485.7,9373.0,1340.3,6697.0,1335.8
SpanishForkPoliceDept,UT,12,22754,11,0,6,,2,3,1006,180,802,24,48.3,.0,26.4,,8.8,13.2,4421.2,791.1,3524.7,105.5
SpringvillePoliceDept,UT,12,21872,29,0,11,,3,15,975,177,750,48,132.6,.0,50.3,,13.7,68.6,4457.8,809.3,3429.0,219.5
St.GeorgePoliceDept,UT,12,54871,69,2,9,,0,58,988,147,775,66,125.7,3.6,16.4,,.0,105.7,1800.6,267.9,1412.4,120.3
SummitCountySheriffOffice,UT,12,,16,1,9,,3,3,643,97,521,25,,,,,,,,,,
SyracusePoliceDept,UT,12,12612,26,5,10,,0,11,207,42,153,12,206.2,39.6,79.3,,.0,87.2,1641.3,333.0,1213.1,95.1
TooelePoliceDept,UT,12,26354,65,0,11,,6,48,698,151,496,51,246.6,.0,41.7,,22.8,182.1,2648.6,573.0,1882.1,193.5
UtahCountySheriffOffice,UT,12,,49,1,9,,2,37,509,211,263,35,,,,,,,,,,
VernalPoliceDept,UT,12,7999,8,0,2,,1,5,401,33,348,20,100.0,.0,25.0,,12.5,62.5,5013.1,412.6,4350.5,250.0
WeberCountySheriffDepartment,UT,12,,38,1,6,,4,27,1215,226,914,75,,,,,,,,,,
WestJordanPoliceDept,UT,12,74470,157,0,18,,31,108,3242,416,2629,197,210.8,.0,24.2,,41.6,145.0,4353.4,558.6,3530.3,264.5
WestValleyPoliceDept,UT,12,112945,473,8,64,,135,266,6966,1121,5103,742,418.8,7.1,56.7,,119.5,235.5,6167.6,992.5,4518.1,657.0
WoodsCrossPoliceDept,UT,12,7127,10,0,2,,2,6,346,42,266,38,140.3,.0,28.1,,28.1,84.2,4854.8,589.3,3732.3,533.2
