Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
SantaquinPoliceDept,UT,12,8861,2,0,0,,0,2,112,27,80,5,22.6,.0,.0,,.0,22.6,1264.0,304.7,902.8,56.4
SouthJordanPoliceDept,UT,12,51044,44,0,10,,7,27,1122,178,886,58,86.2,.0,19.6,,13.7,52.9,2198.1,348.7,1735.8,113.6
SouthOgdenPoliceDept,UT,12,15783,27,0,8,,10,9,574,74,481,19,171.1,.0,50.7,,63.4,57.0,3636.8,468.9,3047.6,120.4
SouthSaltLakePoliceDept,UT,12,21490,222,4,37,,61,120,1894,288,1314,292,1033.0,18.6,172.2,,283.9,558.4,8813.4,1340.2,6114.5,1358.8
SpanishForkPoliceDept,UT,12,29880,13,0,7,,1,5,583,110,457,16,43.5,.0,23.4,,3.3,16.7,1951.1,368.1,1529.5,53.5
SpringvillePoliceDept,UT,12,27753,37,0,16,,9,12,723,103,598,22,133.3,.0,57.7,,32.4,43.2,2605.1,371.1,2154.7,79.3
St.GeorgePoliceDept,UT,12,74356,161,1,20,,26,114,2144,450,1575,119,216.5,1.3,26.9,,35.0,153.3,2883.4,605.2,2118.2,160.0
SummitCountySheriffOffice,UT,12,,14,0,5,,0,9,596,110,460,26,,,,,,,,,,
SyracusePoliceDept,UT,12,23333,7,0,4,,0,3,332,44,281,7,30.0,.0,17.1,,.0,12.9,1422.9,188.6,1204.3,30.0
TaylorsvilleCity,UT,12,58600,202,1,23,,71,107,2943,446,2199,298,344.7,1.7,39.2,,121.2,182.6,5022.2,761.1,3752.6,508.5
TooelePoliceDept,UT,12,30364,66,0,13,,5,48,1125,260,798,67,217.4,.0,42.8,,16.5,158.1,3705.0,856.3,2628.1,220.7
UtahCountySheriffOffice,UT,12,,47,0,12,,3,32,392,101,264,27,,,,,,,,,,
VernalPoliceDept,UT,12,8496,32,0,8,,3,21,345,57,261,27,376.6,.0,94.2,,35.3,247.2,4060.7,670.9,3072.0,317.8
WeberCountySheriffDepartment,UT,12,,41,1,8,,13,19,1062,171,820,71,,,,,,,,,,
WestJordanPoliceDept,UT,12,105772,215,0,40,,29,146,3215,470,2486,259,203.3,.0,37.8,,27.4,138.0,3039.6,444.4,2350.3,244.9
WestValleyPoliceDept,UT,12,124128,601,2,98,,167,334,6486,806,4817,863,484.2,1.6,79.0,,134.5,269.1,5225.3,649.3,3880.7,695.3
WoodsCrossPoliceDept,UT,12,8671,9,0,3,,2,4,239,32,193,14,103.8,.0,34.6,,23.1,46.1,2756.3,369.0,2225.8,161.5
