Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
OremPoliceDept,UT,12,62134,104,0,10,,4,90,2808,306,2418,84,167.4,.0,16.1,,6.4,144.8,4519.3,492.5,3891.6,135.2
PaysonPoliceDept,UT,12,9614,13,0,2,,0,11,483,118,337,28,135.2,.0,20.8,,.0,114.4,5023.9,1227.4,3505.3,291.2
PleasantGrovePoliceDept,UT,12,17201,18,1,3,,2,12,432,96,308,28,104.6,5.8,17.4,,11.6,69.8,2511.5,558.1,1790.6,162.8
ProvoPoliceDept,UT,12,78164,161,1,9,,13,138,3267,633,2529,105,206.0,1.3,11.5,,16.6,176.6,4179.7,809.8,3235.5,134.3
RoyPoliceDept,UT,12,23707,84,0,2,,5,77,1005,114,869,22,354.3,.0,8.4,,21.1,324.8,4239.3,480.9,3665.6,92.8
St.GeorgePoliceDept,UT,12,19975,28,2,3,,5,18,1214,141,1015,58,140.2,10.0,15.0,,25.0,90.1,6077.6,705.9,5081.4,290.4
SaltLakeCityPoliceDept,UT,12,159839,1090,13,94,,482,501,19783,3997,14863,923,681.9,8.1,58.8,,301.6,313.4,12376.8,2500.6,9298.7,577.5
SaltLakeCountySheriffOffice,UT,12,,742,10,28,,95,609,15023,2544,12051,428,,,,,,,,,,
SandyCityPoliceDept,UT,12,68025,116,0,14,,13,89,2604,598,1927,79,170.5,.0,20.6,,19.1,130.8,3828.0,879.1,2832.8,116.1
SantaquinPoliceDept,UT,12,2633,4,0,1,,0,3,46,7,36,3,151.9,.0,38.0,,.0,113.9,1747.1,265.9,1367.3,113.9
SouthJordanPoliceDept,UT,10,11127,3,0,0,,0,3,255,49,193,13,,,,,,,,,,
SouthOgdenPoliceDept,UT,12,12348,36,0,6,,1,29,676,195,457,24,291.5,.0,48.6,,8.1,234.9,5474.6,1579.2,3701.0,194.4
SouthSaltLakePoliceDept,UT,12,12449,50,0,12,,17,21,1880,354,1411,115,401.6,.0,96.4,,136.6,168.7,15101.6,2843.6,11334.2,923.8
SpanishForkPoliceDept,UT,12,11006,5,0,1,,1,3,586,82,486,18,45.4,.0,9.1,,9.1,27.3,5324.4,745.0,4415.8,163.5
SpringvillePoliceDept,UT,12,13417,11,2,2,,1,6,522,80,432,10,82.0,14.9,14.9,,7.5,44.7,3890.6,596.3,3219.8,74.5
SummitCountySheriffOffice,UT,12,,3,0,3,,0,0,206,63,136,7,,,,,,,,,,
SyracusePoliceDept,UT,12,4822,2,0,0,,0,2,70,15,51,4,41.5,.0,.0,,.0,41.5,1451.7,311.1,1057.7,83.0
TooelePoliceDept,UT,12,15899,15,0,3,,0,12,584,138,421,25,94.3,.0,18.9,,.0,75.5,3673.2,868.0,2648.0,157.2
UtahCountySheriffOffice,UT,12,,16,1,2,,3,10,312,85,212,15,,,,,,,,,,
VernalPoliceDept,UT,12,8252,20,0,3,,0,17,494,76,401,17,242.4,.0,36.4,,.0,206.0,5986.4,921.0,4859.4,206.0
WeberCountySheriffDepartment,UT,12,,13,0,2,,5,6,667,130,490,47,,,,,,,,,,
WestJordanPoliceDept,UT,12,44832,6,0,0,,5,1,1693,265,1379,49,13.4,.0,.0,,11.2,2.2,3776.3,591.1,3075.9,109.3
WestValleyPoliceDept,UT,12,91571,184,3,28,,40,113,5329,886,4171,272,200.9,3.3,30.6,,43.7,123.4,5819.5,967.6,4554.9,297.0
WoodsCrossPoliceDept,UT,12,5468,8,0,1,,2,5,257,66,183,8,146.3,.0,18.3,,36.6,91.4,4700.1,1207.0,3346.7,146.3
