Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
SpanishForkPoliceDept,UT,12,27473,20,0,8,,1,11,677,126,530,21,72.8,.0,29.1,,3.6,40.0,2464.2,458.6,1929.2,76.4
SpringvillePoliceDept,UT,12,26134,32,0,9,,3,20,654,104,522,28,122.4,.0,34.4,,11.5,76.5,2502.5,397.9,1997.4,107.1
St.GeorgePoliceDept,UT,12,66293,139,2,15,,12,110,1586,358,1093,135,209.7,3.0,22.6,,18.1,165.9,2392.4,540.0,1648.7,203.6
SummitCountySheriffOffice,UT,12,,18,0,6,,2,10,642,98,510,34,,,,,,,,,,
SyracusePoliceDept,UT,12,18523,7,1,1,,1,4,230,71,149,10,37.8,5.4,5.4,,5.4,21.6,1241.7,383.3,804.4,54.0
TaylorsvilleCity,UT,12,59899,143,1,23,,34,85,2578,344,1909,325,238.7,1.7,38.4,,56.8,141.9,4303.9,574.3,3187.0,542.6
TooelePoliceDept,UT,12,29293,59,0,18,,5,36,868,146,652,70,201.4,.0,61.4,,17.1,122.9,2963.2,498.4,2225.8,239.0
UtahCountySheriffOffice,UT,12,,32,0,9,,0,23,524,147,339,38,,,,,,,,,,
VernalPoliceDept,UT,10,8219,13,0,3,,1,9,183,24,146,13,,,,,,,,,,
WeberCountySheriffDepartment,UT,12,,48,1,10,,7,30,1069,221,793,55,,,,,,,,,,
WestJordanPoliceDept,UT,12,94424,172,1,27,,35,109,3337,466,2566,305,182.2,1.1,28.6,,37.1,115.4,3534.1,493.5,2717.5,323.0
WestValleyPoliceDept,UT,12,116992,479,3,74,,113,289,5810,885,4062,863,409.4,2.6,63.3,,96.6,247.0,4966.2,756.5,3472.0,737.7
WoodsCrossPoliceDept,UT,12,8280,10,0,3,,3,4,220,44,156,20,120.8,.0,36.2,,36.2,48.3,2657.0,531.4,1884.1,241.5
