Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
OgdenPoliceDept,UT,12,84423,392,2,20,,96,274,4429,858,3279,292,464.3,2.4,23.7,,113.7,324.6,5246.2,1016.3,3884.0,345.9
OremPoliceDept,UT,12,90033,45,0,20,,10,15,2322,166,2069,87,50.0,.0,22.2,,11.1,16.7,2579.1,184.4,2298.0,96.6
PaysonPoliceDept,UT,12,18647,13,0,1,,3,9,745,103,619,23,69.7,.0,5.4,,16.1,48.3,3995.3,552.4,3319.6,123.3
PleasantGrovePoliceDept,UT,12,34156,17,0,7,,4,6,592,104,464,24,49.8,.0,20.5,,11.7,17.6,1733.2,304.5,1358.5,70.3
ProvoPoliceDept,UT,12,114659,149,4,27,,26,92,2888,386,2400,102,130.0,3.5,23.5,,22.7,80.2,2518.8,336.7,2093.2,89.0
RoyPoliceDept,UT,12,37596,37,1,16,,5,15,760,100,641,19,98.4,2.7,42.6,,13.3,39.9,2021.5,266.0,1705.0,50.5
SaltLakeCityPoliceDept,UT,12,190038,1213,6,119,,340,748,12798,1658,9654,1486,638.3,3.2,62.6,,178.9,393.6,6734.4,872.5,5080.0,781.9
SaltLakeCountySheriffOffice,UT,12,,495,6,65,,116,308,7922,1338,5853,731,,,,,,,,,,
SandyCityPoliceDept,UT,12,89149,121,1,17,,26,77,2617,438,1986,193,135.7,1.1,19.1,,29.2,86.4,2935.5,491.3,2227.7,216.5
SantaquinPoliceDept,UT,12,10700,5,0,0,,0,5,191,33,155,3,46.7,.0,.0,,.0,46.7,1785.0,308.4,1448.6,28.0
SouthJordanPoliceDept,UT,12,51391,27,1,8,,5,13,962,189,717,56,52.5,1.9,15.6,,9.7,25.3,1871.9,367.8,1395.2,109.0
SouthOgdenPoliceDept,UT,12,16851,17,0,4,,5,8,366,85,267,14,100.9,.0,23.7,,29.7,47.5,2172.0,504.4,1584.5,83.1
SouthSaltLakePoliceDept,UT,12,24073,173,2,35,,45,91,1577,264,1055,258,718.6,8.3,145.4,,186.9,378.0,6550.9,1096.7,4382.5,1071.7
SpanishForkPoliceDept,UT,12,35360,10,0,3,,1,6,569,92,459,18,28.3,.0,8.5,,2.8,17.0,1609.2,260.2,1298.1,50.9
SpringvillePoliceDept,UT,12,30035,40,0,12,,4,24,880,119,727,34,133.2,.0,40.0,,13.3,79.9,2929.9,396.2,2420.5,113.2
St.GeorgePoliceDept,UT,11,74304,97,0,16,,14,67,1085,236,780,69,,,,,,,,,,
SummitCountySheriffOffice,UT,12,,25,0,2,,4,19,480,57,393,30,,,,,,,,,,
SyracusePoliceDept,UT,12,24801,13,0,3,,2,8,283,28,251,4,52.4,.0,12.1,,8.1,32.3,1141.1,112.9,1012.1,16.1
TaylorsvilleCity,UT,12,59784,211,2,30,,54,125,2467,322,1863,282,352.9,3.3,50.2,,90.3,209.1,4126.5,538.6,3116.2,471.7
TooelePoliceDept,UT,12,32215,66,1,22,,5,38,1316,275,962,79,204.9,3.1,68.3,,15.5,118.0,4085.1,853.6,2986.2,245.2
UtahCountySheriffOffice,UT,12,,36,0,5,,0,31,312,80,219,13,,,,,,,,,,
VernalPoliceDept,UT,12,9264,24,1,7,,1,15,349,59,273,17,259.1,10.8,75.6,,10.8,161.9,3767.3,636.9,2946.9,183.5
WeberCountySheriffDepartment,UT,12,,40,1,11,,4,24,1115,275,788,52,,,,,,,,,,
WestJordanPoliceDept,UT,12,105713,210,0,31,,25,154,2939,405,2314,220,198.7,.0,29.3,,23.6,145.7,2780.2,383.1,2188.9,208.1
WestValleyPoliceDept,UT,12,131979,588,4,77,,126,381,5368,929,3711,728,445.5,3.0,58.3,,95.5,288.7,4067.3,703.9,2811.8,551.6
WoodsCrossPoliceDept,UT,12,9949,7,0,4,,2,1,250,38,194,18,70.4,.0,40.2,,20.1,10.1,2512.8,381.9,1949.9,180.9
