Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
OremPoliceDept,UT,12,67561,35,1,8,,4,22,2967,279,2623,65,51.8,1.5,11.8,,5.9,32.6,4391.6,413.0,3882.4,96.2
PaysonPoliceDept,UT,12,9510,32,0,3,,0,29,316,98,198,20,336.5,.0,31.5,,.0,304.9,3322.8,1030.5,2082.0,210.3
PleasantGrovePoliceDept,UT,12,17294,46,0,1,,0,45,609,106,476,27,266.0,.0,5.8,,.0,260.2,3521.5,612.9,2752.4,156.1
ProvoPoliceDept,UT,12,86835,134,1,30,,20,83,3226,406,2683,137,154.3,1.2,34.5,,23.0,95.6,3715.1,467.6,3089.8,157.8
RoyPoliceDept,UT,12,24603,80,1,4,,4,71,957,116,799,42,325.2,4.1,16.3,,16.3,288.6,3889.8,471.5,3247.6,170.7
St.GeorgePoliceDept,UT,12,28502,40,1,8,,2,29,1084,186,838,60,140.3,3.5,28.1,,7.0,101.7,3803.2,652.6,2940.1,210.5
SaltLakeCityPoliceDept,UT,12,159936,1355,25,167,,539,624,18647,3501,13949,1197,847.2,15.6,104.4,,337.0,390.2,11659.0,2189.0,8721.6,748.4
SaltLakeCountySheriffOffice,UT,12,,1049,5,87,,99,858,15909,2651,12707,551,,,,,,,,,,
SandyCityPoliceDept,UT,12,75058,158,0,14,,26,118,3061,719,2246,96,210.5,.0,18.7,,34.6,157.2,4078.2,957.9,2992.4,127.9
SantaquinPoliceDept,UT,12,2386,6,0,1,,0,5,37,10,24,3,251.5,.0,41.9,,.0,209.6,1550.7,419.1,1005.9,125.7
SouthJordanPoliceDept,UT,12,12220,12,0,2,,1,9,273,67,182,24,98.2,.0,16.4,,8.2,73.6,2234.0,548.3,1489.4,196.4
SouthOgdenPoliceDept,UT,10,12105,12,0,2,,3,7,432,69,342,21,,,,,,,,,,
SouthSaltLakePoliceDept,UT,12,10129,100,2,13,,26,59,1945,350,1460,135,987.3,19.7,128.3,,256.7,582.5,19202.3,3455.4,14414.1,1332.8
SpanishForkPoliceDept,UT,12,11272,11,0,8,,3,0,626,97,504,25,97.6,.0,71.0,,26.6,.0,5553.6,860.5,4471.3,221.8
SpringvillePoliceDept,UT,12,13950,13,0,3,,1,9,446,63,364,19,93.2,.0,21.5,,7.2,64.5,3197.1,451.6,2609.3,136.2
SummitCountySheriffOffice,UT,12,,7,3,2,,0,2,211,53,147,11,,,,,,,,,,
SyracusePoliceDept,UT,12,4658,3,0,0,,0,3,106,21,80,5,64.4,.0,.0,,.0,64.4,2275.7,450.8,1717.5,107.3
TooelePoliceDept,UT,12,13887,21,0,3,,1,17,583,113,427,43,151.2,.0,21.6,,7.2,122.4,4198.2,813.7,3074.8,309.6
UtahCountySheriffOffice,UT,12,,34,1,12,,0,21,324,97,209,18,,,,,,,,,,
VernalPoliceDept,UT,11,6644,25,0,9,,0,16,622,108,499,15,,,,,,,,,,
WeberCountySheriffDepartment,UT,12,,31,0,9,,2,20,755,183,532,40,,,,,,,,,,
WestJordanPoliceDept,UT,12,42892,50,0,13,,12,25,2039,251,1720,68,116.6,.0,30.3,,28.0,58.3,4753.8,585.2,4010.1,158.5
WestValleyPoliceDept,UT,12,86976,331,2,59,,56,214,6520,992,5263,265,380.6,2.3,67.8,,64.4,246.0,7496.3,1140.5,6051.1,304.7
WoodsCrossPoliceDept,UT,12,5384,13,0,1,,3,9,339,37,290,12,241.5,.0,18.6,,55.7,167.2,6296.4,687.2,5386.3,222.9
