Agency,StateID,Months,Population,ViolentCrimeTotal,MurderAndNonnegligentManslaughter,LegacyRape,RevisedRape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft,ViolentCrimeRate,MurderAndNonnegligentManslaughterRate,LegacyRapeRate,RevisedRapeRate,RobberyRate,AggravatedAssaultRate,PropertyCrimeRate,BurglaryRate,LarcenyTheftRate,MotorVehicleTheftRate
PaysonPoliceDept,UT,12,9880,8,0,2,,2,4,306,25,262,19,81.0,.0,20.2,,20.2,40.5,3097.2,253.0,2651.8,192.3
PleasantGrovePoliceDept,UT,12,18154,39,0,6,,1,32,510,97,387,26,214.8,.0,33.1,,5.5,176.3,2809.3,534.3,2131.8,143.2
ProvoPoliceDept,UT,12,74000,165,0,25,,14,126,3328,509,2673,146,223.0,.0,33.8,,18.9,170.3,4497.3,687.8,3612.2,197.3
RoyPoliceDept,UT,12,25084,104,0,6,,1,97,929,122,769,38,414.6,.0,23.9,,4.0,386.7,3703.6,486.4,3065.7,151.5
St.GeorgePoliceDept,UT,12,23205,24,0,5,,4,15,1128,156,905,67,103.4,.0,21.5,,17.2,64.6,4861.0,672.3,3900.0,288.7
SaltLakeCityPoliceDept,UT,12,154304,1197,18,136,,484,559,20584,3854,15510,1220,775.7,11.7,88.1,,313.7,362.3,13339.9,2497.7,10051.6,790.6
SaltLakeCountySheriffOffice,UT,12,,864,8,47,,90,719,15770,2449,12827,494,,,,,,,,,,
SandyCityPoliceDept,UT,12,73869,85,0,8,,18,59,2811,523,2178,110,115.1,.0,10.8,,24.4,79.9,3805.4,708.0,2948.5,148.9
SantaquinPoliceDept,UT,12,2728,3,0,1,,1,1,42,17,23,2,110.0,.0,36.7,,36.7,36.7,1539.6,623.2,843.1,73.3
SouthJordanPoliceDept,UT,12,12598,14,0,2,,0,12,221,55,162,4,111.1,.0,15.9,,.0,95.3,1754.2,436.6,1285.9,31.8
SouthOgdenPoliceDept,UT,11,12436,50,0,8,,3,39,537,119,384,34,,,,,,,,,,
SouthSaltLakePoliceDept,UT,12,12931,86,0,9,,23,54,1892,332,1470,90,665.1,.0,69.6,,177.9,417.6,14631.5,2567.5,11368.0,696.0
SpanishForkPoliceDept,UT,12,11264,4,0,4,,0,0,589,92,480,17,35.5,.0,35.5,,.0,.0,5229.0,816.8,4261.4,150.9
SpringvillePoliceDept,UT,12,13638,22,0,6,,0,16,456,71,372,13,161.3,.0,44.0,,.0,117.3,3343.6,520.6,2727.7,95.3
SummitCountySheriffOffice,UT,12,,7,0,2,,0,5,206,37,162,7,,,,,,,,,,
SyracusePoliceDept,UT,12,5011,2,0,0,,0,2,96,17,77,2,39.9,.0,.0,,.0,39.9,1915.8,339.3,1536.6,39.9
TooelePoliceDept,UT,12,15537,27,0,2,,0,25,696,134,533,29,173.8,.0,12.9,,.0,160.9,4479.6,862.5,3430.5,186.7
UtahCountySheriffOffice,UT,12,,34,1,5,,2,26,404,92,285,27,,,,,,,,,,
VernalPoliceDept,UT,12,7415,45,0,5,,0,40,569,83,479,7,606.9,.0,67.4,,.0,539.4,7673.6,1119.4,6459.9,94.4
WeberCountySheriffDepartment,UT,12,,13,0,1,,0,12,686,143,516,27,,,,,,,,,,
WestJordanPoliceDept,UT,12,50653,25,0,3,,13,9,2002,281,1677,44,49.4,.0,5.9,,25.7,17.8,3952.4,554.8,3310.8,86.9
WestValleyPoliceDept,UT,6,93982,104,1,17,,24,62,2912,451,2282,179,,,,,,,,,,
WoodsCrossPoliceDept,UT,12,5698,9,0,0,,1,8,368,56,297,15,158.0,.0,.0,,17.6,140.4,6458.4,982.8,5212.4,263.3
